Dataset,Features,GA Features,GA %,All,GA,SelectKBest
Toxicity,1203,599,49.79218620116376,0.6285714285714286,0.6571428571428571,0.6571428571428571
Digits,64,29,45.3125,0.9472222222222222,0.9444444444444444,0.95
Wine,13,5,38.46153846153846,1.0,1.0,0.9722222222222222
Breast Cancer,30,6,20.0,0.9473684210526315,0.9385964912280702,0.9473684210526315
